r -> 4
rb -> 4
u -> 4
ub -> 4
l -> 4
lb -> 4
d -> 4
db -> 4
f -> 4
fb -> 4
b -> 4
bb -> 4
r -> 4
rb -> 4
u -> 4
ub -> 4
l -> 4
lb -> 4
d -> 4
db -> 4
f -> 4
fb -> 4
b -> 4
bb -> 4
r r -> 4
r rb -> 2
r u -> 210
r ub -> 126
r l -> 8
r lb -> 8
r d -> 210
r db -> 126
r f -> 210
r fb -> 126
r b -> 210
r bb -> 126
rb r -> 2
rb rb -> 4
rb u -> 126
rb ub -> 210
rb l -> 8
rb lb -> 8
rb d -> 126
rb db -> 210
rb f -> 126
rb fb -> 210
rb b -> 126
rb bb -> 210
u r -> 210
u rb -> 126
u u -> 4
u ub -> 2
u l -> 210
u lb -> 126
u d -> 8
u db -> 8
u f -> 210
u fb -> 126
u b -> 210
u bb -> 126
ub r -> 126
ub rb -> 210
ub u -> 2
ub ub -> 4
ub l -> 126
ub lb -> 210
ub d -> 8
ub db -> 8
ub f -> 126
ub fb -> 210
ub b -> 126
ub bb -> 210
l r -> 8
l rb -> 8
l u -> 210
l ub -> 126
l l -> 4
l lb -> 2
l d -> 210
l db -> 126
l f -> 210
l fb -> 126
l b -> 210
l bb -> 126
lb r -> 8
lb rb -> 8
lb u -> 126
lb ub -> 210
lb l -> 2
lb lb -> 4
lb d -> 126
lb db -> 210
lb f -> 126
lb fb -> 210
lb b -> 126
lb bb -> 210
d r -> 210
d rb -> 126
d u -> 8
d ub -> 8
d l -> 210
d lb -> 126
d d -> 4
d db -> 2
d f -> 210
d fb -> 126
d b -> 210
d bb -> 126
db r -> 126
db rb -> 210
db u -> 8
db ub -> 8
db l -> 126
db lb -> 210
db d -> 2
db db -> 4
db f -> 126
db fb -> 210
db b -> 126
db bb -> 210
f r -> 210
f rb -> 126
f u -> 210
f ub -> 126
f l -> 210
f lb -> 126
f d -> 210
f db -> 126
f f -> 4
f fb -> 2
f b -> 8
f bb -> 8
fb r -> 126
fb rb -> 210
fb u -> 126
fb ub -> 210
fb l -> 126
fb lb -> 210
fb d -> 126
fb db -> 210
fb f -> 2
fb fb -> 4
fb b -> 8
fb bb -> 8
b r -> 210
b rb -> 126
b u -> 210
b ub -> 126
b l -> 210
b lb -> 126
b d -> 210
b db -> 126
b f -> 8
b fb -> 8
b b -> 4
b bb -> 2
bb r -> 126
bb rb -> 210
bb u -> 126
bb ub -> 210
bb l -> 126
bb lb -> 210
bb d -> 126
bb db -> 210
bb f -> 8
bb fb -> 8
bb b -> 2
bb bb -> 4
r r r -> 12
r r rb -> 12
r r u -> 90
r r ub -> 90
r r l -> 12
r r lb -> 12
r r d -> 90
r r db -> 90
r r f -> 90
r r fb -> 90
r r b -> 90
r r bb -> 90
r rb r -> 12
r rb rb -> 12
r rb u -> 12
r rb ub -> 12
r rb l -> 12
r rb lb -> 12
r rb d -> 12
r rb db -> 12
r rb f -> 12
r rb fb -> 12
r rb b -> 12
r rb bb -> 12
r u r -> 90
r u rb -> 12
r u u -> 90
r u ub -> 12
r u l -> 270
r u lb -> 540
r u d -> 270
r u db -> 540
r u f -> 240
r u fb -> 180
r u b -> 252
r u bb -> 1080
r ub r -> 90
r ub rb -> 12
